REG,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimés
1,318903,276648,42255,1522,1928,38805
2,304698,267165,37533,1851,1476,34206
3,109017,98821,10196,318,257,9621
4,697195,513365,183830,5467,7049,171314
6,98087,78512,19575,747,657,18171
11,7511355,3528050,3983305,38122,31294,3913889
24,1847939,869859,978080,15842,17210,945028
27,1997439,881872,1115567,17594,19397,1078576
28,2420256,1125563,1294693,20612,18400,1255681
32,4281428,2099600,2181828,31436,32891,2117501
44,3895241,1872970,2022271,28551,30433,1963287
52,2871755,1344058,1527697,26204,25862,1475631
53,2591501,1112253,1479248,20821,23276,1435151
75,4525397,2008269,2517128,38236,51359,2427533
76,4403457,1913429,2490028,33528,39361,2417139
84,5636942,2473714,3163228,41354,41783,3080091
93,3721877,1733171,1988706,20316,23865,1944525
94,248762,141179,107583,990,1241,105352
